Model,CV Mean,CV Std,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Predict Time (s)
Svm,0.9447916666666668,0.013420936173672017,0.9541666666666667,0.9602434602434603,0.9541666666666667,0.9548226902345895,0.9993478260869566,0.030841350555419922
Logisticregression,0.9375,0.01435838411676062,0.9333333333333333,0.9401741776741777,0.9333333333333333,0.9325111666375633,0.9979166666666667,0.001001119613647461
Naivebayes,0.90625,0.020036858397574304,0.9125,0.9237721768971769,0.9125,0.9069548253043677,0.9974637681159421,0.0
Lightgbm,0.8479166666666668,0.014508737788733432,0.875,0.8835928505046151,0.875,0.8737149458786512,0.993840579710145,0.019402503967285156
Xgboost,0.8854166666666667,0.010925092168439073,0.875,0.8775539275539276,0.875,0.8727395041182225,0.9930978260869565,0.01920318603515625
Neuralnetwork,0.9104166666666667,0.02067649295966586,0.8625,0.8844389406889407,0.8625,0.8537145179593693,0.9933514492753623,0.00799870491027832
Randomforest,0.8572916666666666,0.015659683727471774,0.8583333333333333,0.8673791486291486,0.8583333333333333,0.8563710970831714,0.9931159420289855,0.060996294021606445
Catboost,0.8333333333333333,0.010925092168439104,0.85,0.8537337662337663,0.85,0.8423963624524771,0.9895652173913044,0.005531787872314453
